,Date,Amt,TipsAmt,Pct,JustDate,Hour,DateName,DayType,ShiftType
92,2024-03-25 12:00:00,18.9,3.78,0.2,2024-03-25,12,Monday,Weekday,Morning shift
93,2024-03-25 12:00:00,16.8,2.52,0.15,2024-03-25,12,Monday,Weekday,Morning shift
94,2024-03-25 12:00:00,19.95,3.59,0.1799498746867168,2024-03-25,12,Monday,Weekday,Morning shift
95,2024-03-25 12:00:00,38.85,5.83,0.15006435006435007,2024-03-25,12,Monday,Weekday,Morning shift
96,2024-03-25 12:00:00,18.9,3.4,0.1798941798941799,2024-03-25,12,Monday,Weekday,Morning shift
97,2024-03-25 13:00:00,22.05,3.31,0.15011337868480726,2024-03-25,13,Monday,Weekday,Morning shift
98,2024-03-25 13:00:00,38.85,5.83,0.15006435006435007,2024-03-25,13,Monday,Weekday,Morning shift
99,2024-03-25 12:00:00,38.85,0.0,0.0,2024-03-25,12,Monday,Weekday,Morning shift
100,2024-03-25 13:00:00,27.3,4.1,0.15018315018315018,2024-03-25,13,Monday,Weekday,Morning shift
101,2024-03-25 12:00:00,18.9,3.78,0.2,2024-03-25,12,Monday,Weekday,Morning shift
102,2024-03-25 12:00:00,29.4,4.41,0.15000000000000002,2024-03-25,12,Monday,Weekday,Morning shift
103,2024-03-25 12:00:00,18.9,1.0,0.052910052910052914,2024-03-25,12,Monday,Weekday,Morning shift
104,2024-03-24 16:00:00,31.76,4.76,0.1498740554156171,2024-03-24,16,Sunday,Weekend,Evening shift
105,2024-03-25 15:00:00,52.5,15.75,0.3,2024-03-25,15,Monday,Weekday,Morning shift
106,2024-03-24 16:00:00,29.4,0.0,0.0,2024-03-24,16,Sunday,Weekend,Evening shift
107,2024-03-25 18:00:00,39.9,0.0,0.0,2024-03-25,18,Monday,Weekday,Evening shift
108,2024-03-25 13:00:00,18.9,2.84,0.15026455026455027,2024-03-25,13,Monday,Weekday,Morning shift
109,2024-03-25 17:00:00,87.15,13.07,0.1499713138267355,2024-03-25,17,Monday,Weekday,Evening shift
110,2024-03-25 17:00:00,35.96,5.39,0.14988876529477196,2024-03-25,17,Monday,Weekday,Evening shift
111,2024-03-25 15:00:00,22.05,2.21,0.1002267573696145,2024-03-25,15,Monday,Weekday,Morning shift
112,2024-03-25 16:00:00,15.75,0.0,0.0,2024-03-25,16,Monday,Weekday,Evening shift
113,2024-03-25 17:00:00,48.3,6.0,0.12422360248447206,2024-03-25,17,Monday,Weekday,Evening shift
114,2024-03-25 13:00:00,29.4,5.88,0.2,2024-03-25,13,Monday,Weekday,Morning shift
115,2024-03-25 17:00:00,16.8,0.0,0.0,2024-03-25,17,Monday,Weekday,Evening shift
116,2024-03-25 13:00:00,58.8,8.82,0.15000000000000002,2024-03-25,13,Monday,Weekday,Morning shift
117,2024-03-25 16:00:00,22.05,3.31,0.15011337868480726,2024-03-25,16,Monday,Weekday,Evening shift
118,2024-03-25 13:00:00,19.95,3.99,0.2,2024-03-25,13,Monday,Weekday,Morning shift
119,2024-03-25 18:00:00,44.1,6.62,0.15011337868480726,2024-03-25,18,Monday,Weekday,Evening shift
120,2024-03-24 19:00:00,30.71,3.0,0.09768804949527841,2024-03-24,19,Sunday,Weekend,Evening shift
121,2024-03-17 14:00:00,49.35,7.4,0.14994934143870314,2024-03-17,14,Sunday,Weekend,Morning shift
122,2024-03-25 18:00:00,29.4,7.35,0.25,2024-03-25,18,Monday,Weekday,Evening shift
123,2024-03-22 14:00:00,35.7,3.57,0.09999999999999999,2024-03-22,14,Friday,Weekday,Morning shift
124,2024-03-22 14:00:00,58.8,8.82,0.15000000000000002,2024-03-22,14,Friday,Weekday,Morning shift
125,2024-03-22 13:00:00,54.6,8.19,0.15,2024-03-22,13,Friday,Weekday,Morning shift
126,2024-03-22 13:00:00,49.35,5.0,0.10131712259371833,2024-03-22,13,Friday,Weekday,Morning shift
127,2024-03-22 12:00:00,68.25,13.65,0.2,2024-03-22,12,Friday,Weekday,Morning shift
128,2024-03-22 12:00:00,37.8,5.67,0.15000000000000002,2024-03-22,12,Friday,Weekday,Morning shift
129,2024-03-23 16:00:00,39.9,5.99,0.15012531328320802,2024-03-23,16,Saturday,Weekend,Evening shift
130,2024-03-29 20:00:00,19.95,2.99,0.149874686716792,2024-03-29,20,Friday,Weekday,Evening shift
131,2024-03-22 18:00:00,64.05,0.0,0.0,2024-03-22,18,Friday,Weekday,Evening shift
132,2024-03-22 19:00:00,18.9,2.84,0.15026455026455027,2024-03-22,19,Friday,Weekday,Evening shift
133,2024-03-24 19:00:00,68.4,10.26,0.15,2024-03-24,19,Sunday,Weekend,Evening shift
134,2024-03-23 12:00:00,55.13,8.27,0.1500090694721567,2024-03-23,12,Saturday,Weekend,Morning shift
135,2024-03-22 18:00:00,56.7,8.51,0.15008818342151675,2024-03-22,18,Friday,Weekday,Evening shift
136,2024-03-25 20:00:00,65.8,9.87,0.15,2024-03-25,20,Monday,Weekday,Evening shift
137,2024-03-25 19:00:00,18.9,2.0,0.10582010582010583,2024-03-25,19,Monday,Weekday,Evening shift
138,2024-03-25 20:00:00,38.85,0.0,0.0,2024-03-25,20,Monday,Weekday,Evening shift
139,2024-03-30 20:00:00,67.2,8.06,0.1199404761904762,2024-03-30,20,Saturday,Weekend,Evening shift
140,2024-03-30 19:00:00,48.3,6.0,0.12422360248447206,2024-03-30,19,Saturday,Weekend,Evening shift
141,2024-03-30 20:00:00,42.0,8.0,0.19047619047619047,2024-03-30,20,Saturday,Weekend,Evening shift
143,2024-03-30 20:00:00,37.8,5.67,0.15000000000000002,2024-03-30,20,Saturday,Weekend,Evening shift
144,2024-03-30 20:00:00,18.9,2.84,0.15026455026455027,2024-03-30,20,Saturday,Weekend,Evening shift
145,2024-03-30 17:00:00,51.45,7.72,0.15004859086491737,2024-03-30,17,Saturday,Weekend,Evening shift
146,2024-03-30 17:00:00,67.2,0.0,0.0,2024-03-30,17,Saturday,Weekend,Evening shift
147,2024-03-30 11:00:00,40.16,0.0,0.0,2024-03-30,11,Saturday,Weekend,Morning shift
148,2024-03-30 14:00:00,35.7,5.0,0.1400560224089636,2024-03-30,14,Saturday,Weekend,Morning shift
149,2024-03-30 13:00:00,37.8,5.67,0.15000000000000002,2024-03-30,13,Saturday,Weekend,Morning shift
150,2024-03-30 14:00:00,18.9,1.0,0.052910052910052914,2024-03-30,14,Saturday,Weekend,Morning shift
151,2024-03-30 13:00:00,36.75,4.41,0.12000000000000001,2024-03-30,13,Saturday,Weekend,Morning shift
152,2024-03-30 13:00:00,19.16,2.87,0.14979123173277661,2024-03-30,13,Saturday,Weekend,Morning shift
153,2024-03-30 13:00:00,35.7,7.14,0.19999999999999998,2024-03-30,13,Saturday,Weekend,Morning shift
