Job Title,Company Name,URL,Base Salary,Company Location,company size,Educational Level,Experience Requirements,Job Skills,Organization Type,Work Environment,Work Type
Data Analyst (Rebel Apparel),BCJobs,https://www.linkedin.com/jobs/search/?currentJobId=3991267733&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=350,,"Vancouver, BC",11-50 employees,Undergraduate degree,None,Data Analysis · Data Cleaning · Data Science · Databases · Relational Databases · Business Requirements · Computer Science · Metadata · Metadata Standards · Reporting Requirements · SQL · Database · Communication,"Technology, Information and Internet 11-50 employees 18 on LinkedIn",,Full-time
"Data Analyst, Audit Centre",KPMG Canada,https://www.linkedin.com/jobs/search/?currentJobId=4013384062&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=400,"$53,000 to $79,500","Toronto, ON","10,001+ employees",Post-secondary degree,None,Communication · Data Analysis · Data Analytics · Key Performance Indicators · Mathematics · SQL · Computer Science · Creative Problem Solving · Debugging · Scripting · MySQL · Oracle · Python · R · Power BI,"Financial Services 10,001+ employees 9,351 on LinkedIn",On-site,Full-time
Business Data Analyst,Quantum Management Services Ltd.,https://www.linkedin.com/jobs/search/?currentJobId=4020870730&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=400,,"Montreal, QC",201-500 employees,None,3,Data Analysis · Data Analytics · Data Science · Databases · SQL · Python · Excel · Power BI · Statistics,Staffing and Recruiting 201-500 employees 347 on LinkedIn,On-site,Contract
Business Intelligence Analyst,Philip Morris International,https://www.linkedin.com/jobs/search/?currentJobId=4017914845&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=400,,"Toronto, ON","10,001+ employees",Undergraduate degree,3,Analytical Skills · Communication · Databases · Pivot Tables · Problem Solving · SAP BusinessObjects · Ad Hoc Analysis · Power BI · Salesforce · Excel · Analytical Thinking,"Tobacco Manufacturing 10,001+ employees 42,177 on LinkedIn",On-site,Temporary
Senior Insight Analyst,VGW,https://www.linkedin.com/jobs/search/?currentJobId=4024475828&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=400,,"Toronto, ON","1,001-5,000 employees",Undergraduate degree,5,Analytical Skills · Analytics · Data Analytics · Data Visualization · Databases · SQL · Statistics · Tableau · Power BI,"Entertainment Providers 1,001-5,000 employees 1,023 on LinkedIn",Hybrid,Full-time
"Data Analyst, Audit Centre",KPMG Canada,https://www.linkedin.com/jobs/search/?currentJobId=4013379805&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=425,,"Greater Sudbury, ON","10,001+ employees",Post-secondary degree,None,Communication · Data Analysis · Data Analytics · Key Performance Indicators · Mathematics · SQL · Computer Science · Creative Problem Solving · Python · SQL Server · Statistics · R,"Financial Services 10,001+ employees 9,351 on LinkedIn",On-site,Full-time
BI Analyst,Alludo,https://www.linkedin.com/jobs/search/?currentJobId=3972233841&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=425,,"Toronto, ON","501-1,000 employees",None,5,Analytics · Dashboards · Data Analytics · Data Modeling · Data Science · Data Visualization · Tableau · Looker · Snowflake · Excel · Statistics,"Software Development 501-1,000 employees 555 on LinkedIn",Remote,Full-time
Data Analyst and Reporting Tools Developer,Fidelity Canada,https://www.linkedin.com/jobs/search/?currentJobId=3979136119&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=425,,"Toronto, ON","1,001-5,000 employees",Undergraduate degree,4,Communication · Data Cleaning · Data Integrity · Databases · Problem Solving · SQL · Excel · Analytical Thinking,"Financial Services 1,001-5,000 employees 1,412 on LinkedIn",,Full-time
Data Analyst - Informatics and Systems,Snaplii,https://www.linkedin.com/jobs/search/?currentJobId=3984979842&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=475,,"Mississauga, ON",11-50 employees,Undergraduate degree,1,Analytical Thinking · Communication · Data Analytics · Data Modeling · Data Science · Data Visualization · Visualization · SQL · ETL · SAS,Financial Services 11-50 employees 48 on LinkedIn,Hybrid,Full-time
"Senior Analyst, Media Analytics",Instacart,https://www.linkedin.com/jobs/collections/top-applicant/?currentJobId=4011739329&eBP=NON_CHARGEABLE_CHANNEL&refId=gw2HJaM%2BS4%2BOaaT0TYW4Ww%3D%3D&trackingId=bwUfbE5ncWXoNmrYSEQtNg%3D%3D,"$113,000—$125,000","Vancouver, BC","1,001-5,000 employees",None,4,Analytical Skills · Communication · Data Analytics · ETL Tools · SQL · Python · Airflow · Data Modeling · Tableau,"Software Development 1,001-5,000 employees 20,677 on LinkedIn",Remote,Full-time
